"ID","PopularFoodDislike","DressColor","Floaters","Animal","ChocolateOrVanilla","RightLeftHanded","RotaryPhone","ThermostatTemperature","NumberFrom1to100","MovieStar","CanRollTongue","CellPhoneType","FavoriteNumberFrom1to5","FavoriteTeam","GrossedOutByFoodAnswer","ThrowingOutSocks","OddEvenSection","SectionDay","Activity_Basketball","Activity_Ski","Activity_HorseRiding","Activity_StickShift","Activity_Rubiks","Activity_Unicycle","Activity_Stilts","Activity_Juggle","Activity_IceSkate","Tried_Snails","Tried_FrogLegs","Tried_Natto","Tried_Aligator","Tried_Durian","Tried_ThousandYearOldEgg","Dislike_Coffee","Dislike_Yogurt","Dislike_Cilantro","Dislike_Tomatoes","Dislike_CarbonatedDrinks","Dislike_Eggs","Dislike_ChocolateIceCream","Follow_Football","Follow_Soccer","Follow_Basketball","Follow_Baseball","Follow_Cricket"
"4052","Sushi","I don't remember","Yes, occasionally","Lion","Chocolate","Right-handed","Not 100% sure","Cooler","11","Adam Sandler","No","iPhone","4","New York Mets","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"8758","none","Blue and black","Yes, occasionally","cat","Chocolate","Right-handed","Not 100% sure","Warmer","43","brad pitt","Yes","iPhone","5","Laker","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday","1","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2556","Blue Cheese","Blue and black","I'm not sure what things you mean","Duck","Chocolate","Right-handed","Yes, and I have","Cooler","8","Brad Pitt","Yes","iPhone","4","Thunder","Yes, one or two","No","Even","Tuesday","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","1","1","0"
"3492","CheezWiz Hotdog in a Twinkie ","Blue and black","Yes, occasionally","19-Legged Spider Monkey that which can Spit Magma and Cast Lightning Spells","Chocolate","Right-handed","Yes, and I have","Warmer","100","Christian Bale","Yes","Android","1","","Yes, one or two","No, but I'm totally doing that now","Odd","Tuesday","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"754","hot dogs","Blue and black","Yes, occasionally","giraffe","Chocolate","Right-handed","Not 100% sure","Cooler","32","Brad Pitt","No","iPhone","5","","Yes, one or two","No","Odd","Thursday","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"6683","Pizza","Blue and black","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Yes, I believe so","Cooler","54","Margot Robbie","Yes","iPhone","4","","Yes, one or two","No","Even","Tuesday","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","0","0"
"7812","Reese’s cups","Blue and black","Yes, occasionally","Dog","Chocolate","Left-handed","Yes, and I have","Cooler","5","Brad Pitt","Yes","iPhone","5","Philadelphia Eagles","No","No","Even","Thursday","1","1","1","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"1857","Pizza","White and gold","I'm not sure what things you mean","Panda","Chocolate","Right-handed","Yes, I believe so","Cooler","4","Dakota Johnson","Yes","Android","4","Chicago Cubs","No","No","Odd","Tuesday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","1","1","1","0"
"6764","Boba Tea","Blue and black","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Not 100% sure","Cooler","29","Chris Pratt","No","iPhone","5","Atlanta Hawks","No","No","Odd","Thursday","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"824","Fish and other seafood in general","A color combination not listed here","Yes, occasionally","dog","Vanilla","Right-handed","Not 100% sure","Cooler","7","Chris Hemsworth","No","iPhone","5","","Yes, most of them","No","Even","Thursday","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9732","eggs","Blue and black","Yes, constantly","rat","Chocolate","Left-handed","Yes, I believe so","Cooler","33","Leonardo decaprio","Yes","iPhone","3","","Yes, one or two","No","Odd","Tuesday","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"2612","Raw Tomatoes","I don't remember","Yes, constantly","Tiger","Vanilla","Right-handed","Yes, I believe so","Warmer","83","Zendaya","Yes","","4","","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1794","Chocolate","White and gold","I'm not sure what things you mean","Tiger","Vanilla","Ambidextrous","Yes, and I have","Cooler","51","Steve Harvey","Yes","iPhone","4","","Yes, one or two","No","Odd","Tuesday","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"3447","Yogurt","White and gold","Yes, constantly","Horse","Chocolate","Right-handed","Yes, and I have","Warmer","4","Margot Robbie","What?","Other smartphone","4","","No","No",NA,NA,"1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"1405","Pizza","Blue and black","No","Dog","Chocolate","Ambidextrous","Not 100% sure","Cooler","50","Dwayne Johnson","Yes","iPhone","5","Inter Milan","Yes, one or two","No","Odd","Tuesday","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"6054","Pancakes","Blue and black","Yes, occasionally","Lion","Chocolate","Right-handed","Yes, and I have","Cooler","47","Jackie Chan","Yes","Android","1","","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday","0","0","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"2127","Pies","What dress?","I'm not sure what things you mean","Elephant","Chocolate","Right-handed","Not 100% sure","Cooler","50","Daniel Radcliffe","No","iPhone","3","","No","No","Even","Thursday","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"6870","Bacon","White and gold","Yes, occasionally","Dog","Vanilla","Right-handed","Not 100% sure","Cooler","11","Leonardo DiCaprio","No","iPhone","1","Arizona Cardinals","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
